"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"454015331494006784","","","2014-04-09 21:57:44 +0000","<a href=""http://www.echofon.com"" rel=""nofollow"">Echofon  Android</a>","RT @WhyAyeBiology First draft of #takeawayhmk is ready for #GCSEScience. All comments welcome. http://t.co/MG9fSsQ6iE &lt;- cracking idea!","","","","https://twitter.com/WhyAyeBiology/status/453790372645203968/photo/1"
"454014576456392704","","","2014-04-09 21:54:44 +0000","<a href=""http://www.echofon.com"" rel=""nofollow"">Echofon  Android</a>","RT @terryfreedman: Where are the #girls in ICT and Computing via ICT in Education Pls RT! ... http://t.co/AuMz5aYY42","453956998246055936","6999142","2014-04-09 18:05:57 +0000","http://tinyurl.com/k9wjbkd,http://tinyurl.com/k9wjbkd"
"453967059467370496","","","2014-04-09 18:45:55 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","The world's roundest object - a silicon sphere https://t.co/Yez381dIRN &gt; €1M to buy raw material &amp; after being ground, now ... priceless!","","","","https://www.youtube.com/watch?v=ZMByI4s-D-Y"
"453667912117932032","","","2014-04-08 22:57:13 +0000","<a href=""http://www.echofon.com"" rel=""nofollow"">Echofon  Android</a>","RT @mesterman Children of the Digital Revolution survey - over 100 responses so far! http://t.co/H0qMnAlYPf @EduTECH_AU @EdTechSA Pls RT","","","","http://bit.ly/1e8JkjT"
"452808447185403905","","","2014-04-06 14:02:01 +0000","<a href=""http://www.echofon.com"" rel=""nofollow"">Echofon  Android</a>","'Girl Develop It ... affordable and accessible programs for women who want to learn software development' http://t.co/3SJUx8os8p","","","","http://www.girldevelopit.com/"
"452696893584592896","452530638584033282","21324520","2014-04-06 06:38:44 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@EdintheClouds I shall neatly sidestep all of several possible replies ;-)","","","",""
"452691333493567488","452689470777589760","739293","2014-04-06 06:16:39 +0000","<a href=""http://www.echofon.com"" rel=""nofollow"">Echofon  Android</a>","@courosa @ISGSuperintend A good place to start is @C4LPT 's Top 100 Tools for Learning http://t.co/fHKww8Ynuf","","","","http://c4lpt.co.uk/top100tools/"
"452530638584033282","","","2014-04-05 19:38:06 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","""Data looks better naked"" http://t.co/IMo5ZWzLlU (via @EdintheClouds) Animated gif for learning. @johnjohnston might be interested?","","","","http://darkhorseanalytics.com/blog/clear-off-the-table/"
"452522718970544128","","","2014-04-05 19:06:38 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","""E-learning: you don't always get what you hope for"" Aimed at HE, but with messages for all concerned with TEL,  http://t.co/2BmRxPVfgD","","","","http://oro.open.ac.uk/16235/"
"452516457948397568","","","2014-04-05 18:41:45 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","""The SAGE Handbook of E-learning Research"" might be useful for the #eNOOBs , an absolute snip at only £104!!!","","","",""
"452493783004119040","","","2014-04-05 17:11:39 +0000","<a href=""http://www.echofon.com"" rel=""nofollow"">Echofon  Android</a>","So what is Technology Integration? http://t.co/lHl6MaHWNz &lt;- via @chrisbetcher #eNOOBs","","","","http://feedly.com/e/QDBQQm9j"
"451072851547009024","451068189783232512","372768752","2014-04-01 19:05:22 +0000","<a href=""http://www.echofon.com"" rel=""nofollow"">Echofon  Android</a>","@mrkrndvs Of course! Your posts always are, but here i enjoyed the interesting metaphor, different perspective &amp; wide variety of sources.","","","",""
"451066825716281344","450956638191509504","82992519","2014-04-01 18:41:26 +0000","<a href=""http://www.echofon.com"" rel=""nofollow"">Echofon  Android</a>","@largerama \0/","","","",""
"451066615153831938","450922734596280321","372768752","2014-04-01 18:40:36 +0000","<a href=""http://www.echofon.com"" rel=""nofollow"">Echofon  Android</a>","@mrkrndvs Sorry about that Aaron and thanks for correcting it. Really interesting post.","","","",""
"450767663351218177","","","2014-03-31 22:52:40 +0000","<a href=""http://www.echofon.com"" rel=""nofollow"">Echofon  Android</a>","RT @mrkrndvs So Which Pedagogical Cocktails Are Drinking Today? …http://t.co/7U7Mx5viwc… #edreform","","","","http://dingwritingresponding.blogspot.com.au/2014/03/so-whi"
"450722896638672896","450616830764150784","82992519","2014-03-31 19:54:47 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@largerama Looking good! Like your change in emphasis on RQ3.
Have added final few suggestions, but other than that, good to go!","","","",""
"450631151854837760","450616830764150784","82992519","2014-03-31 13:50:13 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@largerama Well done that man! Might have to wait till I get home though. Back in touch later.","","","",""
"450614703740690433","450438909583847424","82992519","2014-03-31 12:44:52 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@largerama Mutual squire. Mutual :-)","","","",""
"450612981538492416","","","2014-03-31 12:38:01 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Have a Y9 student who's trying to solve a problem using Python &amp; needs a bit of support. NE1 know a community I can direct her towards? #cas","","","",""
"450355622253699072","","82992519","2014-03-30 19:35:22 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@largerama Well done sir. Things seem to be coming along quite nicely.","","","",""
"450309156768317440","","","2014-03-30 16:30:43 +0000","<a href=""http://www.echofon.com"" rel=""nofollow"">Echofon  Android</a>","2/2 And circuits you can draw ... WHICH WORK! using conductive paint http://t.co/XHfFJJOIHJ #asechat #bbcclick","","","","http://www.bareconductive.com/"
"450308040731156482","","","2014-03-30 16:26:17 +0000","<a href=""http://www.echofon.com"" rel=""nofollow"">Echofon  Android</a>","On #bbcclick this week, plenty for #asechat like an iphone spectrometer - free (ish) http://t.co/634OvqzbMN 1/2","","","","http://bit.ly/1kc7wAc"
"449995197414658048","","","2014-03-29 19:43:10 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","The 'myth' of the 'Cone of Learning' (We remember 10% of what we read, 20% of what we see...etc) http://t.co/tdsGjbLAgf -see research report","","","","http://www.edutopia.org/multimodal-learning-teaching-methods-media"
"449817357721292800","","","2014-03-29 07:56:29 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Wondering who @josepicardoSHS will be 'upsetting' this weekend? ;-)","","","",""
"448969152116838400","448955392216014848","64987892","2014-03-26 23:46:01 +0000","<a href=""http://www.echofon.com"" rel=""nofollow"">Echofon  Android</a>","@lordlangley73 Many congratulations, and I have to say I never realised what delicate hands you have!","","","",""
"448924116503232513","","","2014-03-26 20:47:04 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","""Enhancing eLearning with Media-rich Content"" http://t.co/XFQ4km11H6 [3Mb PDF] #eNOOBs","","","","http://www.e-continua.com/documentos/web_didactica_caladine.pdf"
"448906192589684737","448897161758253056","14282238","2014-03-26 19:35:51 +0000","<a href=""http://www.echofon.com"" rel=""nofollow"">Echofon  Android</a>","@richardmillwood But would it not be fair to say we associate with like-minded individuals in the offline world too? #nesta #teachmeet","","","",""
"448196811854196736","448192991358758912","82992519","2014-03-24 20:37:01 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@largerama Certainly. I say go for it! :-)
Any thing you want me to do? Might struggle tonight (UK), but can get stuck in from tomorrow.","","","",""
"448190736924966912","447899453442121729","82992519","2014-03-24 20:12:53 +0000","<a href=""http://www.echofon.com"" rel=""nofollow"">Echofon  Android</a>","@largerama Oops! I'm equally guilty though as it had slipped my mind too.
What do you want to do?","","","",""
"447756862931619840","","","2014-03-23 15:28:49 +0000","<a href=""http://www.echofon.com"" rel=""nofollow"">Echofon  Android</a>","Shoutout to @largerama in my TELIC 'Story' http://t.co/eVlGZAHyIT (Sorry buddy, but did I ever point you to the finished product?)","","","","http://www.telic-stories.co.uk/"
"447646681212133376","","","2014-03-23 08:11:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","http://t.co/u32yy9PD7x looks @ how 2 innovate teaching and learning practices @ system level, describing the vision 4 ‘Creative Classrooms’","","","","http://www.openeducationeuropa.eu/en/article/Innovating-Teaching-and-Learning-Practices%3A-Key-Elements-for-Developing-Creative-Classrooms-in-Europe"
"447430069682995200","","","2014-03-22 17:50:16 +0000","<a href=""http://www.echofon.com"" rel=""nofollow"">Echofon  Android</a>","RT @mberry: Really nice sensor app for Android: https://t.co/tj0Q44rtO9 lots of classroom potential - the new data logging!","447112781066948609","8496052","2014-03-21 20:49:28 +0000","https://play.google.com/store/apps/details?id=org.greengin.sciencetoolkit,https://play.google.com/store/apps/details?id=org.greengin.sciencetoolkit"
"447164844513697792","","","2014-03-22 00:16:21 +0000","<a href=""http://www.echofon.com"" rel=""nofollow"">Echofon  Android</a>","MT @openculture 35 Free Noir Films for Friday Night. Fritz Lang, John Huston, Orson Welles http://t.co/nlYOeqpb4T &lt;- @digitalmaverick ?","","","","http://cultr.me/1adHhXx"
